153N,153T,33N,33T,547N,547T,553N,553T,442N,442T,552N,552T,55N,55T,654N,654T,463N,463T,453N,453T,47N,47T,448N,448T,199N,199T,663N,663T,68N,68T,191N,191T,62N,62T,662N,662T,656N,656T,566N,566T,528N,528T,664N,664T,189N,189T,652N,652T,652T,673N,673N,673T,673T,678N,678T,682N,682T,685N,685T,686N,686T,692N,692T,694N,694T,699N,699T,701N,701T,702N,702T,706N,706T,709N,709T,711N,711T,712N,712T,715N,715T,717N,717T,719N,719T,721N,721T,724N,724T,726N,726T,727N,727T,38N,38T,45N,45T,96N,96T,117N,117T,156N,156T
,0.7916667,,0.6666667,,0.9166667,,0.88,,0.8333333,,0.75,,,,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9615384,,0.8518519,,,,,,0.962963,,,,0.962963,,,,0.4583333,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,
,0.8695652,,0.68,,0.4782609,,0.96,,0.88,,0.7222222,,,,,,,,,,,,,,0.8695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,0.9565217,,,,0.8461539,,,,0.4782609,,,,0.4090909,,,,,,,,,,,,,,,,,,,,,,,,
,0.9130435,,0.9230769,,0.5217391,,0.96,,0.8888889,,0.952381,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7083333,,,,,,,,,,0.9565217,,,,0.7407407,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0.8,,0.4166667,,0.68,,0.96,,0.9545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666667,,,,,,,,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0.6153846,,0.4583333,,0.9565217,,0.7,,0.9583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0.5,,0.7391304,,0.9130435,,0.8,,0.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3846154,,0.875,,0.7727273,,0.7727273,,0.7857143,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.4583333,,0,,0.96,,0.96,,0.8260869,,0.9545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.7083333,,0.6666667,,0.9230769,,0.9230769,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,0.5416667,,0.92,,0.8181818,,0.9090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.68,,0.84,,0.5,,0.8095238,,1,,,,,,,,,,
,,,0.8695652,,0.9565217,,,,0.8333333,,0.6956522,,,,,,,,,,
,,,0.6956522,,,,,,1,,0.8333333,,,,,,,,,,
,,,0.6666667,,,,,,0.8461539,,,,,,,,,,,,
,,,,,,,,,0.9615384,,,,,,,,,,,,
,,,,,,,,,0.9047619,,,,,,,,,,,,
